;AMZN;AAPL;
2020-06-22T00:00:00.000000000;2713.82;89.72;
2020-06-23T00:00:00.000000000;2764.41;91.63;
2020-06-24T00:00:00.000000000;2734.4;90.01;
2020-06-25T00:00:00.000000000;2754.58;91.21;
2020-06-26T00:00:00.000000000;2692.87;88.41;
2020-06-29T00:00:00.000000000;2680.38;90.44;
2020-06-30T00:00:00.000000000;2758.82;91.2;
2020-07-01T00:00:00.000000000;2878.7;91.03;
2020-07-02T00:00:00.000000000;2890.3;91.03;
2020-07-06T00:00:00.000000000;3057.04;93.46;
2020-07-07T00:00:00.000000000;3000.12;93.17;
2020-07-08T00:00:00.000000000;3081.11;95.34;
2020-07-09T00:00:00.000000000;3182.63;95.75;
2020-07-10T00:00:00.000000000;3200.0;95.92;
2020-07-13T00:00:00.000000000;3104.0;95.48;
2020-07-14T00:00:00.000000000;3084.0;97.06;
2020-07-15T00:00:00.000000000;3008.87;97.72;
2020-07-16T00:00:00.000000000;2999.9;96.52;
2020-07-17T00:00:00.000000000;2961.97;96.33;
2020-07-20T00:00:00.000000000;3196.84;98.36;
2020-07-21T00:00:00.000000000;3138.29;97.0;
2020-07-22T00:00:00.000000000;3099.91;97.27;
2020-07-23T00:00:00.000000000;2986.55;92.85;
2020-07-24T00:00:00.000000000;3008.91;92.61;
2020-07-27T00:00:00.000000000;3055.21;94.81;
2020-07-28T00:00:00.000000000;3000.33;93.25;
2020-07-29T00:00:00.000000000;3033.53;95.04;
2020-07-30T00:00:00.000000000;3051.88;96.19;
2020-07-31T00:00:00.000000000;3164.68;106.26;
2020-08-03T00:00:00.000000000;3111.89;108.94;
2020-08-04T00:00:00.000000000;3138.83;109.67;
2020-08-05T00:00:00.000000000;3205.03;110.06;
2020-08-06T00:00:00.000000000;3225.0;113.9;
2020-08-07T00:00:00.000000000;3167.46;111.11;
2020-08-10T00:00:00.000000000;3148.16;112.73;
2020-08-11T00:00:00.000000000;3080.67;109.38;
2020-08-12T00:00:00.000000000;3162.24;113.01;
2020-08-13T00:00:00.000000000;3161.02;115.01;
2020-08-14T00:00:00.000000000;3148.02;114.91;
2020-08-17T00:00:00.000000000;3182.41;114.61;
2020-08-18T00:00:00.000000000;3312.49;115.56;
2020-08-19T00:00:00.000000000;3260.48;115.71;
2020-08-20T00:00:00.000000000;3297.37;118.28;
2020-08-21T00:00:00.000000000;3284.72;124.37;
2020-08-24T00:00:00.000000000;3307.46;125.86;
2020-08-25T00:00:00.000000000;3346.49;124.82;
2020-08-26T00:00:00.000000000;3441.85;126.52;
2020-08-27T00:00:00.000000000;3400.0;125.01;
2020-08-28T00:00:00.000000000;3401.8;124.81;
2020-08-31T00:00:00.000000000;3450.96;129.04;
2020-09-01T00:00:00.000000000;3499.12;134.18;
2020-09-02T00:00:00.000000000;3531.45;131.4;
2020-09-03T00:00:00.000000000;3368.0;120.88;
2020-09-04T00:00:00.000000000;3294.62;120.96;
2020-09-08T00:00:00.000000000;3149.84;112.82;
2020-09-09T00:00:00.000000000;3268.61;117.32;
2020-09-10T00:00:00.000000000;3175.11;113.49;
2020-09-11T00:00:00.000000000;3116.22;112.0;
2020-09-14T00:00:00.000000000;3102.97;115.36;
2020-09-15T00:00:00.000000000;3156.13;115.54;
2020-09-16T00:00:00.000000000;3078.1;112.13;
2020-09-17T00:00:00.000000000;3008.73;110.34;
2020-09-18T00:00:00.000000000;2954.91;106.84;
2020-09-21T00:00:00.000000000;2960.47;110.08;
2020-09-22T00:00:00.000000000;3128.99;111.81;
2020-09-23T00:00:00.000000000;2999.86;107.12;
2020-09-24T00:00:00.000000000;3019.79;108.22;
2020-09-25T00:00:00.000000000;3095.13;112.28;
2020-09-28T00:00:00.000000000;3174.05;114.96;
2020-09-29T00:00:00.000000000;3144.88;114.09;
2020-09-30T00:00:00.000000000;3148.73;115.81;
2020-10-01T00:00:00.000000000;3221.26;116.79;
2020-10-02T00:00:00.000000000;3125.0;113.02;
2020-10-05T00:00:00.000000000;3199.2;116.5;
2020-10-06T00:00:00.000000000;3099.96;113.16;
2020-10-07T00:00:00.000000000;3195.69;115.08;
2020-10-08T00:00:00.000000000;3190.55;114.97;
2020-10-09T00:00:00.000000000;3286.65;116.97;
2020-10-12T00:00:00.000000000;3442.93;124.4;
2020-10-13T00:00:00.000000000;3443.63;121.1;
2020-10-14T00:00:00.000000000;3363.71;121.19;
2020-10-15T00:00:00.000000000;3338.65;120.71;
2020-10-16T00:00:00.000000000;3272.71;119.02;
2020-10-19T00:00:00.000000000;3207.21;115.98;
2020-10-20T00:00:00.000000000;3217.01;117.51;
2020-10-21T00:00:00.000000000;3184.94;116.87;
2020-10-22T00:00:00.000000000;3176.4;115.75;
2020-10-23T00:00:00.000000000;3204.4;115.04;
2020-10-26T00:00:00.000000000;3207.04;115.05;
2020-10-27T00:00:00.000000000;3286.33;116.6;
2020-10-28T00:00:00.000000000;3162.78;111.2;
2020-10-29T00:00:00.000000000;3211.01;115.32;
2020-10-30T00:00:00.000000000;3036.15;108.86;
2020-11-02T00:00:00.000000000;3004.48;108.77;
2020-11-03T00:00:00.000000000;3048.41;110.44;
2020-11-04T00:00:00.000000000;3241.16;114.95;
2020-11-05T00:00:00.000000000;3322.0;119.03;
2020-11-06T00:00:00.000000000;3311.37;118.69;
2020-11-09T00:00:00.000000000;3143.74;116.32;
2020-11-10T00:00:00.000000000;3035.02;115.97;
2020-11-11T00:00:00.000000000;3137.39;119.49;
2020-11-12T00:00:00.000000000;3110.28;119.21;
2020-11-13T00:00:00.000000000;3128.81;119.26;
2020-11-16T00:00:00.000000000;3131.06;120.3;
2020-11-17T00:00:00.000000000;3135.66;119.39;
2020-11-18T00:00:00.000000000;3105.46;118.03;
2020-11-19T00:00:00.000000000;3117.02;118.64;
2020-11-20T00:00:00.000000000;3099.4;117.34;
2020-11-23T00:00:00.000000000;3098.39;113.85;
2020-11-24T00:00:00.000000000;3118.06;115.17;
2020-11-25T00:00:00.000000000;3185.07;116.03;
2020-11-27T00:00:00.000000000;3195.34;116.59;
2020-11-30T00:00:00.000000000;3168.04;119.05;
2020-12-01T00:00:00.000000000;3220.08;122.72;
2020-12-02T00:00:00.000000000;3203.53;123.08;
2020-12-03T00:00:00.000000000;3186.73;122.94;
2020-12-04T00:00:00.000000000;3162.58;122.25;
2020-12-07T00:00:00.000000000;3158.0;123.75;
2020-12-08T00:00:00.000000000;3177.29;124.38;
2020-12-09T00:00:00.000000000;3104.2;121.78;
2020-12-10T00:00:00.000000000;3101.49;123.24;
2020-12-11T00:00:00.000000000;3116.42;122.41;
2020-12-14T00:00:00.000000000;3156.97;121.78;
2020-12-15T00:00:00.000000000;3165.12;127.88;
2020-12-16T00:00:00.000000000;3240.96;127.81;
2020-12-17T00:00:00.000000000;3236.08;128.7;
2020-12-18T00:00:00.000000000;3201.65;126.66;
2020-12-21T00:00:00.000000000;3206.18;128.23;
2020-12-22T00:00:00.000000000;3206.52;131.88;
2020-12-23T00:00:00.000000000;3185.27;130.96;
2020-12-24T00:00:00.000000000;3172.69;131.97;
2020-12-28T00:00:00.000000000;3283.96;136.69;
2020-12-29T00:00:00.000000000;3322.0;134.87;
2020-12-30T00:00:00.000000000;3285.85;133.72;
2020-12-31T00:00:00.000000000;3256.93;132.69;
2021-01-04T00:00:00.000000000;3186.63;129.41;
2021-01-05T00:00:00.000000000;3218.51;131.01;
2021-01-06T00:00:00.000000000;3138.38;126.6;
2021-01-07T00:00:00.000000000;3162.16;130.92;
2021-01-08T00:00:00.000000000;3182.7;132.05;
2021-01-11T00:00:00.000000000;3114.21;128.98;
2021-01-12T00:00:00.000000000;3120.83;128.8;
2021-01-13T00:00:00.000000000;3165.89;130.89;
2021-01-14T00:00:00.000000000;3127.47;128.91;
2021-01-15T00:00:00.000000000;3104.25;127.14;
2021-01-19T00:00:00.000000000;3120.76;127.83;
2021-01-20T00:00:00.000000000;3263.38;132.03;
2021-01-21T00:00:00.000000000;3306.99;136.87;
2021-01-22T00:00:00.000000000;3292.23;139.07;
2021-01-25T00:00:00.000000000;3294.0;142.92;
2021-01-26T00:00:00.000000000;3326.13;143.16;
2021-01-27T00:00:00.000000000;3232.58;142.06;
2021-01-28T00:00:00.000000000;3237.62;137.09;
2021-01-29T00:00:00.000000000;3206.2;131.96;
2021-02-01T00:00:00.000000000;3342.88;134.14;
2021-02-02T00:00:00.000000000;3380.0;134.99;
2021-02-03T00:00:00.000000000;3312.53;133.94;
2021-02-04T00:00:00.000000000;3331.0;137.39;
2021-02-05T00:00:00.000000000;3352.15;136.76;
2021-02-08T00:00:00.000000000;3322.94;136.91;
2021-02-09T00:00:00.000000000;3305.0;136.01;
2021-02-10T00:00:00.000000000;3286.58;135.39;
2021-02-11T00:00:00.000000000;3262.13;135.13;
2021-02-12T00:00:00.000000000;3277.71;135.37;
2021-02-16T00:00:00.000000000;3268.95;133.19;
2021-02-17T00:00:00.000000000;3308.64;130.84;
2021-02-18T00:00:00.000000000;3328.23;129.71;
2021-02-19T00:00:00.000000000;3249.9;129.87;
2021-02-22T00:00:00.000000000;3180.74;126.0;
2021-02-23T00:00:00.000000000;3194.5;125.86;
2021-02-24T00:00:00.000000000;3159.53;125.35;
2021-02-25T00:00:00.000000000;3057.16;120.99;
2021-02-26T00:00:00.000000000;3092.93;121.26;
2021-03-01T00:00:00.000000000;3146.14;127.79;
2021-03-02T00:00:00.000000000;3094.53;125.12;
2021-03-03T00:00:00.000000000;3005.0;122.06;
2021-03-04T00:00:00.000000000;2977.57;120.13;
2021-03-05T00:00:00.000000000;3000.46;121.42;
2021-03-08T00:00:00.000000000;2951.95;116.36;
2021-03-09T00:00:00.000000000;3062.85;121.09;
2021-03-10T00:00:00.000000000;3057.64;119.98;
2021-03-11T00:00:00.000000000;3113.59;121.96;
2021-03-12T00:00:00.000000000;3089.49;121.03;
